284515247529_10151940070436529,1166933466,'Mercoledì 2 aprile 2014 alle ore 20.35'
284515247529_10151940070436529,1624202450,'Mercoledì 2 aprile 2014 alle ore 13.22'
284515247529_10151940070436529,100001898356779,'Mercoledì 2 aprile 2014 alle ore 9.31'
284515247529_10151940070436529,100004122305173,'Mercoledì 2 aprile 2014 alle ore 7.13'
284515247529_10151940070436529,100007344552662,'Mercoledì 2 aprile 2014 alle ore 6.39'
284515247529_10151940070436529,/ajax/hovercard/page.php?id=354997081193015,'Mercoledì 2 aprile 2014 alle ore 5.31'
284515247529_10151940070436529,634831478,'Martedì 1 aprile 2014 alle ore 22.49'
284515247529_10151940070436529,1553653677,'Martedì 1 aprile 2014 alle ore 21.58'
284515247529_10151940070436529,100001255245890,'Martedì 1 aprile 2014 alle ore 21.38'
284515247529_10151940070436529,1662635542,'Martedì 1 aprile 2014 alle ore 21.28'
284515247529_10151940070436529,1676734644,'Martedì 1 aprile 2014 alle ore 20.50'
284515247529_10151940070436529,100000289610549,'Martedì 1 aprile 2014 alle ore 20.49'
284515247529_10151940070436529,1180268240,'Martedì 1 aprile 2014 alle ore 20.47'
284515247529_10151940070436529,1233247441,'Martedì 1 aprile 2014 alle ore 20.36'
284515247529_10151940070436529,100000331710979,'Martedì 1 aprile 2014 alle ore 20.31'
284515247529_10151940070436529,1424825446,'Martedì 1 aprile 2014 alle ore 19.57'
284515247529_10151940070436529,1424825446,'Martedì 1 aprile 2014 alle ore 19.57'
284515247529_10151940070436529,1507706989,'Martedì 1 aprile 2014 alle ore 19.50'
284515247529_10151940070436529,534929806,'Martedì 1 aprile 2014 alle ore 19.28'
284515247529_10151940070436529,534929806,'Martedì 1 aprile 2014 alle ore 19.28'
284515247529_10151940070436529,100000589282167,'Martedì 1 aprile 2014 alle ore 19.28'
